Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Relative Effort,Commute,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,translation missing: en-US.lib.export.portability_exporter.activities.horton_values.type,translation missing: en-US.lib.export.portability_exporter.activities.horton_values.start_time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,translation missing: en-US.lib.export.portability_exporter.activities.horton_values.jump_count,translation missing: en-US.lib.export.portability_exporter.activities.horton_values.total_grit,translation missing: en-US.lib.export.portability_exporter.activities.horton_values.avg_flow
519773268,"Mar 17, 2016, 6:22:53 PM",Lunch Ride,Ride,,15945,28.24,,false,Vilano Aluminum Road Bike 21 Speed Shimano,activities/519773268.gpx,60.0,11.0,15945.0,7790.0,28246.099609375,9.0,,10.741800308227539,4.1417999267578125,0.0,11.800000190734863,40.400001525878906,0.02336609922349453,,,,,,,,49.71689987182617,431.8335266113281,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,2058272.0,,,,,,,,,,
521163464,"Mar 19, 2016, 4:28:38 PM",Morning Run,Run,,2342,3.05,,false,,activities/521163464.gpx,60.0,,2342.0,1408.0,3056.300048828125,5.800000190734863,,0.0,4.199999809265137,0.10000000149011612,13.399999618530273,19.5,-0.13742099702358246,,,,,,,,,226.04270935058594,,,,,,,,,,,,,,,,0.0,,,3066.199951171875,,,,,,,,,,,,,,,,,,,,,,,,,
521405285,"Mar 19, 2016, 6:02:48 PM",Burnaby ride,Ride,"",14979,40.02,,false,Vilano Aluminum Road Bike 21 Speed Shimano,activities/521405285.gpx,65.0,11.0,14979.0,5758.0,40021.6015625,13.899999618530273,,164.6790008544922,,-1.0,137.1999969482422,21.200000762939453,0.009994599968194962,,,,,,,,137.95399475097656,885.6881103515625,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,2058272.0,,,,,,,,,,
524269966,"Mar 22, 2016, 9:26:08 PM",Afternoon Ride,Ride,,14094,36.70,,false,Vilano Aluminum Road Bike 21 Speed Shimano,activities/524269966.gpx,65.0,11.0,14094.0,9131.0,36701.0,9.899999618530273,,0.0,-3.700000047683716,0.0,12.0,36.599998474121094,0.010081499814987183,,,,,,,,59.862998962402344,609.4691162109375,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,2058272.0,,,,,,,,,,
524363556,"Mar 23, 2016, 5:35:32 AM",Night Run,Run,,435,1.04,,false,,activities/524363556.gpx,65.0,,435.0,342.0,1045.800048828125,9.100000381469727,,0.0,-0.10000000149011612,3.4000000953674316,9.800000190734863,7.5,0.009562060236930847,,,,,,,,,84.19284057617188,,,,,,,,,,,,,,,,0.0,,,1054.199951171875,,,,,,,,,,,,,,,,,,,,,,,,,
525925884,"Mar 25, 2016, 1:35:22 AM",Evening Ride,Ride,,6611,19.56,,false,Vilano Aluminum Road Bike 21 Speed Shimano,activities/525925884.gpx,65.0,11.0,6611.0,5011.0,19561.30078125,11.800000190734863,,0.0,-0.8999999761581421,1.100000023841858,11.399999618530273,8.300000190734863,0.004600919783115387,,,,,,,,52.203399658203125,291.6742248535156,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,2058272.0,,,,,,,,,,
538836242,"Apr 7, 2016, 8:22:23 PM",I will never evee skip meal before cycling again ,Ride,,15763,51.25,,false,Vilano Aluminum Road Bike 21 Speed Shimano,activities/538836242.gpx,65.0,11.0,15763.0,10732.0,51256.5,14.199999809265137,,577.7150268554688,577.9149780273438,-3.0,126.5,50.0,-0.0003901940071955323,,,,,,,,141.96299743652344,1698.7547607421875,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,2058272.0,,,,,,,,,,
540698025,"Apr 9, 2016, 7:21:27 PM",Lunch Ride,Ride,,28317,17.51,,false,Vilano Aluminum Road Bike 21 Speed Shimano,activities/540698025.gpx,65.0,11.0,28317.0,9912.0,17515.900390625,12.300000190734863,,175.96200561523438,171.86199951171875,-0.8999999761581421,126.69999694824219,12.600000381469727,0.02340729907155037,,,,,,,,71.49939727783203,790.2027587890625,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,2058272.0,,,,,,,,,,
542699922,"Apr 11, 2016, 9:51:29 PM",Afternoon Ride,Ride,,6209,25.61,,false,Vilano Aluminum Road Bike 21 Speed Shimano,activities/542699922.gpx,65.0,11.0,6209.0,5202.0,25617.30078125,13.399999618530273,,166.63699340820312,169.03700256347656,-1.0,100.30000305175781,21.899999618530273,-0.009368670172989368,,,,,,,,131.88299560546875,764.9517211914062,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,2058272.0,,,,,,,,,,
547596703,"Apr 16, 2016, 5:57:42 PM",Vaisakhi parade,Ride,,25006,50.03,,false,Vilano Aluminum Road Bike 21 Speed Shimano,activities/547596703.gpx,65.0,11.0,25006.0,12908.0,50037.0,14.800000190734863,,620.1480102539062,616.0479736328125,-1.7000000476837158,93.4000015258789,48.79999923706055,0.008193939924240112,,,,,,,,86.5740966796875,1246.0108642578125,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,2058272.0,,,,,,,,,,
